Threshold,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
extreme,China,409,348,295,245,226,206,194,172,150,106,87,25,19,10,8,6,5,4
extreme,RoEAP,109,107,106,96,106,90,86,73,64,56,52,45,39,34,31,28,24,22
moderate,China,333,334,330,322,300,276,262,248,232,209,185,139,111,86,73,57,45,35
moderate,RoEAP,170,166,164,167,163,158,158,153,136,132,133,130,126,113,109,100,94,89
vulnerable,China,292,316,336,355,352,348,345,340,333,345,326,329,300,278,260,233,211,185
vulnerable,RoEAP,128,133,136,141,137,148,155,158,159,157,160,160,163,169,164,164,164,162
secure,China,227,265,302,343,381,421,447,477,508,552,590,665,694,724,734,741,738,734
secure,RoEAP,99,106,111,117,118,133,135,153,178,193,197,208,220,232,247,259,270,281
middle_class,China,19,25,31,38,51,64,74,90,109,125,154,192,229,264,292,334,377,418
middle_class,RoEAP,25,26,27,31,33,36,38,42,49,53,58,64,66,72,76,82,87,92
above_mc,China,1,1,1,1,2,3,4,5,6,7,8,8,11,10,11,14,18,22
above_mc,RoEAP,15,15,16,16,16,17,17,17,18,19,20,20,21,22,22,23,24,25
